date,coin_symbol,coin_name,coin_rank,market_cap,total_volume,rolling_vol_30d,log_return
2020-02-19,btc,Bitcoin,1,184918071499.1008,54648014949.72496,,
2020-02-20,btc,Bitcoin,1,175312937106.92148,50502739123.75383,,-0.0521991978312676
2020-02-21,btc,Bitcoin,1,174871048291.16623,53579139400.80847,,-0.0010651991953434
2020-02-22,btc,Bitcoin,1,176701844101.55685,37678167400.71924,,0.0067260261187644
2020-02-23,btc,Bitcoin,1,176097270350.4831,32555342237.08436,,-0.0014903816811155
2020-02-24,btc,Bitcoin,1,181368043820.0941,38743680759.32858,,0.0293931214166516
2020-02-25,btc,Bitcoin,1,175872097740.40662,41928789500.12296,,-0.0281147948135735
2020-02-26,btc,Bitcoin,1,170478976467.6238,39441760776.3185,,-0.0342495516021106
2020-02-27,btc,Bitcoin,1,160731785487.8149,45140119229.63602,,-0.059938098514527
2020-02-28,btc,Bitcoin,1,160149975301.41962,43045469000.97675,,-0.0023297562138804
2020-02-29,btc,Bitcoin,1,159030381910.26715,41297721067.30182,,-0.0072970951386963
2020-03-01,btc,Bitcoin,1,156047250857.11172,33291626663.006737,,-0.0190323362070561
2020-03-02,btc,Bitcoin,1,155934421965.2728,34310775733.322155,,0.001730426295861
2020-03-03,btc,Bitcoin,1,162521881368.8758,59776629742.57125,,0.0387000426522767
2020-03-04,btc,Bitcoin,1,159816567727.14258,68336042797.3885,,-0.0168900522366115
2020-03-05,btc,Bitcoin,1,159869936941.09732,38832067216.87788,,0.0002201971120108
2020-03-06,btc,Bitcoin,1,165070261612.788,38122635173.15044,,0.0314927621640528
2020-03-07,btc,Bitcoin,1,166791067805.42844,41388087588.44269,,0.010671491796959
2020-03-08,btc,Bitcoin,1,162543409238.00458,36764763103.12236,,-0.0259070378865331
2020-03-09,btc,Bitcoin,1,147076617271.6885,39132209137.69724,,-0.1016997444487994
2020-03-10,btc,Bitcoin,1,144664117909.4077,45678665163.11017,,-0.01503953743698
2020-03-11,btc,Bitcoin,1,144410718987.88852,40882213633.94649,,-0.0018448855109287
2020-03-12,btc,Bitcoin,1,144948460093.29614,38689036552.81125,,0.0036346525108097
2020-03-13,btc,Bitcoin,1,93092131086.97026,50009548492.07486,,-0.4337144297241337
2020-03-14,btc,Bitcoin,1,101262945297.35812,74329688818.10397,,0.0748686023067275
2020-03-15,btc,Bitcoin,1,95216478864.65564,36054625746.82817,,-0.061119728989043
2020-03-16,btc,Bitcoin,1,98632587514.00249,32985693209.74783,,0.0346325837627325
2020-03-17,btc,Bitcoin,1,91962797384.28252,44034438467.96684,,-0.0700990216483941
