date,coin_symbol,coin_name,coin_rank,token_group,outcome_realized_vol_30d,driver_sec_event_indicator,control_market_cap,control_total_volume,control_btc_corr_30d,vix,ffeffective_rate,epu_index,outcome_vol_blank_reason,btc_corr_blank_reason
2020-02-19,btc,Bitcoin,1,defi,,0,184918071499.1008,54648014949.72496,,14.38,1.59,56.47,no_prior_ret_yet,no_paired_ret_yet
2020-02-19,eth,Ethereum,2,defi,,0,31034929114.66128,33038477053.26572,,14.38,1.59,56.47,no_prior_ret_yet,no_paired_ret_yet
2020-02-19,usdt,Tether,3,stablecoin,,0,4285326170.913868,70299261237.21727,,14.38,1.59,56.47,no_prior_ret_yet,no_paired_ret_yet
2020-02-19,xrp,XRP,4,defi,,0,13006965403.789305,3811855427.807952,,14.38,1.59,56.47,no_prior_ret_yet,no_paired_ret_yet
2020-02-19,bnb,BNB,5,centralized_exchange,,0,3691896845.9100976,347593301.5396434,,14.38,1.59,56.47,no_prior_ret_yet,no_paired_ret_yet
2020-02-19,usdc,USDC,6,stablecoin,,0,432640417.0049491,689684457.0925375,,14.38,1.59,56.47,no_prior_ret_yet,no_paired_ret_yet
2020-02-19,trx,TRON,8,defi,,0,1494830083.6473243,2163761404.225243,,14.38,1.59,56.47,no_prior_ret_yet,no_paired_ret_yet
2020-02-19,doge,Dogecoin,9,defi,,0,347694085.36952585,120924221.3564568,,14.38,1.59,56.47,no_prior_ret_yet,no_paired_ret_yet
2020-02-20,btc,Bitcoin,1,defi,,0,175312937106.92148,50502739123.75383,1.0,15.56,1.59,103.7,no_prior_ret_yet,-
2020-02-20,eth,Ethereum,2,defi,,0,28662558273.135616,24634102799.07547,,15.56,1.59,103.7,no_prior_ret_yet,no_paired_ret_yet
2020-02-20,usdt,Tether,3,stablecoin,,0,4282876600.340887,65196416436.48433,,15.56,1.59,103.7,no_prior_ret_yet,no_paired_ret_yet
2020-02-20,xrp,XRP,4,defi,,0,12286661487.356989,3177109702.4000826,,15.56,1.59,103.7,no_prior_ret_yet,no_paired_ret_yet
2020-02-20,bnb,BNB,5,centralized_exchange,,0,3449518851.48574,288054592.1590407,,15.56,1.59,103.7,no_prior_ret_yet,no_paired_ret_yet
2020-02-20,usdc,USDC,6,stablecoin,,0,434416692.9648715,789192760.0666754,,15.56,1.59,103.7,no_prior_ret_yet,no_paired_ret_yet
2020-02-20,trx,TRON,8,defi,,0,1350424394.7119937,1860633115.31102,,15.56,1.59,103.7,no_prior_ret_yet,no_paired_ret_yet
2020-02-20,doge,Dogecoin,9,defi,,0,329247157.05573463,120435360.74675378,,15.56,1.59,103.7,no_prior_ret_yet,no_paired_ret_yet
2020-02-21,btc,Bitcoin,1,defi,,0,174871048291.16623,53579139400.80847,1.0,17.08,1.58,106.59,no_prior_ret_yet,-
2020-02-21,eth,Ethereum,2,defi,,0,28258309183.25315,34355959852.74692,,17.08,1.58,106.59,no_prior_ret_yet,no_paired_ret_yet
2020-02-21,usdt,Tether,3,stablecoin,,0,4287659834.945381,72007263154.84265,,17.08,1.58,106.59,no_prior_ret_yet,no_paired_ret_yet
2020-02-21,xrp,XRP,4,defi,,0,11903878854.716238,3305374380.6193023,,17.08,1.58,106.59,no_prior_ret_yet,no_paired_ret_yet
2020-02-21,bnb,BNB,5,centralized_exchange,,0,3400751851.238378,293917888.1928246,,17.08,1.58,106.59,no_prior_ret_yet,no_paired_ret_yet
2020-02-21,usdc,USDC,6,stablecoin,,0,425180738.6769657,922604140.8909782,,17.08,1.58,106.59,no_prior_ret_yet,no_paired_ret_yet
2020-02-21,trx,TRON,8,defi,,0,1314779255.1635954,2092791985.2706952,,17.08,1.58,106.59,no_prior_ret_yet,no_paired_ret_yet
2020-02-21,doge,Dogecoin,9,defi,,0,325132840.28354263,163959447.29513237,,17.08,1.58,106.59,no_prior_ret_yet,no_paired_ret_yet
2020-02-22,btc,Bitcoin,1,defi,,0,176701844101.55685,37678167400.71924,1.0,17.08,1.58,177.27,no_prior_ret_yet,-
2020-02-22,eth,Ethereum,2,defi,,0,29114570356.366127,18672669187.760765,,17.08,1.58,177.27,no_prior_ret_yet,no_paired_ret_yet
2020-02-22,usdt,Tether,3,stablecoin,,0,4286189909.950764,43693281116.5608,,17.08,1.58,177.27,no_prior_ret_yet,no_paired_ret_yet
2020-02-22,xrp,XRP,4,defi,,0,11994931288.88298,2686108808.308024,,17.08,1.58,177.27,no_prior_ret_yet,no_paired_ret_yet
2020-02-22,bnb,BNB,5,centralized_exchange,,0,3395848277.908833,379734030.4011887,,17.08,1.58,177.27,no_prior_ret_yet,no_paired_ret_yet
2020-02-22,usdc,USDC,6,stablecoin,,0,424407128.4289221,937912507.0886436,,17.08,1.58,177.27,no_prior_ret_yet,no_paired_ret_yet
2020-02-22,trx,TRON,8,defi,,0,1340665035.9199123,1908909919.332579,,17.08,1.58,177.27,no_prior_ret_yet,no_paired_ret_yet
2020-02-22,doge,Dogecoin,9,defi,,0,328355983.4467112,139383775.86398557,,17.08,1.58,177.27,no_prior_ret_yet,no_paired_ret_yet
2020-02-23,btc,Bitcoin,1,defi,,0,176097270350.4831,32555342237.08436,1.0,17.08,1.58,144.34,no_prior_ret_yet,-
2020-02-23,eth,Ethereum,2,defi,,0,28657670954.134422,14860160863.37393,,17.08,1.58,144.34,no_prior_ret_yet,no_paired_ret_yet
2020-02-23,usdt,Tether,3,stablecoin,,0,4285130709.1202736,37409628165.20042,,17.08,1.58,144.34,no_prior_ret_yet,no_paired_ret_yet
2020-02-23,xrp,XRP,4,defi,,0,12031813176.600395,2170573839.236917,,17.08,1.58,144.34,no_prior_ret_yet,no_paired_ret_yet
2020-02-23,bnb,BNB,5,centralized_exchange,,0,3364840516.8519645,308906985.69944227,,17.08,1.58,144.34,no_prior_ret_yet,no_paired_ret_yet
2020-02-23,usdc,USDC,6,stablecoin,,0,425934494.7623828,869696962.2647609,,17.08,1.58,144.34,no_prior_ret_yet,no_paired_ret_yet
2020-02-23,trx,TRON,8,defi,,0,1324837690.4265544,1652340417.3096304,,17.08,1.58,144.34,no_prior_ret_yet,no_paired_ret_yet
2020-02-23,doge,Dogecoin,9,defi,,0,323020192.18934584,143129454.88647804,,17.08,1.58,144.34,no_prior_ret_yet,no_paired_ret_yet
2020-02-24,btc,Bitcoin,1,defi,,0,181368043820.0941,38743680759.32858,1.0,25.03,1.58,88.73,no_prior_ret_yet,-
2020-02-24,eth,Ethereum,2,defi,,0,30135977087.94057,15734092874.96997,,25.03,1.58,88.73,no_prior_ret_yet,no_paired_ret_yet
2020-02-24,usdt,Tether,3,stablecoin,,0,4294456127.209374,44933931790.78866,,25.03,1.58,88.73,no_prior_ret_yet,no_paired_ret_yet
2020-02-24,xrp,XRP,4,defi,,0,12368568030.53096,2366852812.724957,,25.03,1.58,88.73,no_prior_ret_yet,no_paired_ret_yet
2020-02-24,bnb,BNB,5,centralized_exchange,,0,3510096072.4666047,370143216.2006344,,25.03,1.58,88.73,no_prior_ret_yet,no_paired_ret_yet
2020-02-24,usdc,USDC,6,stablecoin,,0,424523237.5337561,963993785.4022366,,25.03,1.58,88.73,no_prior_ret_yet,no_paired_ret_yet
2020-02-24,trx,TRON,8,defi,,0,1406078277.0130973,1801015585.5909832,,25.03,1.58,88.73,no_prior_ret_yet,no_paired_ret_yet
2020-02-24,doge,Dogecoin,9,defi,,0,331312903.24520266,167584709.26129562,,25.03,1.58,88.73,no_prior_ret_yet,no_paired_ret_yet
2020-02-25,btc,Bitcoin,1,defi,,0,175872097740.40662,41928789500.12296,1.0,27.85,1.58,147.84,no_prior_ret_yet,-
2020-02-25,eth,Ethereum,2,defi,,0,28974292556.854683,21019871769.54907,,27.85,1.58,147.84,no_prior_ret_yet,no_paired_ret_yet
2020-02-25,usdt,Tether,3,stablecoin,,0,4289228245.46827,50814470266.30067,,27.85,1.58,147.84,no_prior_ret_yet,no_paired_ret_yet
2020-02-25,xrp,XRP,4,defi,,0,11885975614.657633,2475554285.309856,,27.85,1.58,147.84,no_prior_ret_yet,no_paired_ret_yet
2020-02-25,bnb,BNB,5,centralized_exchange,,0,3364128427.944973,305719319.9020813,,27.85,1.58,147.84,no_prior_ret_yet,no_paired_ret_yet
2020-02-25,usdc,USDC,6,stablecoin,,0,427141133.313967,1041052749.6523744,,27.85,1.58,147.84,no_prior_ret_yet,no_paired_ret_yet
2020-02-25,trx,TRON,8,defi,,0,1313287771.327654,1916811499.9180088,,27.85,1.58,147.84,no_prior_ret_yet,no_paired_ret_yet
2020-02-25,doge,Dogecoin,9,defi,,0,320780422.6428275,141406806.18826887,,27.85,1.58,147.84,no_prior_ret_yet,no_paired_ret_yet
2020-02-26,btc,Bitcoin,1,defi,,0,170478976467.6238,39441760776.3185,1.0,27.56,1.58,97.49,no_prior_ret_yet,-
2020-02-26,eth,Ethereum,2,defi,,0,27274600634.783813,15216321566.877129,,27.56,1.58,97.49,no_prior_ret_yet,no_paired_ret_yet
2020-02-26,usdt,Tether,3,stablecoin,,0,4284267566.820399,48218794419.31541,,27.56,1.58,97.49,no_prior_ret_yet,no_paired_ret_yet
2020-02-26,xrp,XRP,4,defi,,0,11161956330.394718,2567025289.697201,,27.56,1.58,97.49,no_prior_ret_yet,no_paired_ret_yet
2020-02-26,bnb,BNB,5,centralized_exchange,,0,3134455973.6722302,292947590.95183,,27.56,1.58,97.49,no_prior_ret_yet,no_paired_ret_yet
2020-02-26,usdc,USDC,6,stablecoin,,0,428152154.6045574,968460070.315046,,27.56,1.58,97.49,no_prior_ret_yet,no_paired_ret_yet
2020-02-26,trx,TRON,8,defi,,0,1261315823.9580932,1795424545.6451447,,27.56,1.58,97.49,no_prior_ret_yet,no_paired_ret_yet
2020-02-26,doge,Dogecoin,9,defi,,0,307640834.485865,159530093.72414365,,27.56,1.58,97.49,no_prior_ret_yet,no_paired_ret_yet
2020-02-27,btc,Bitcoin,1,defi,,0,160731785487.8149,45140119229.63602,1.0,39.16,1.58,106.55,no_prior_ret_yet,-
2020-02-27,eth,Ethereum,2,defi,,0,24823014146.598347,20470479538.05484,,39.16,1.58,106.55,no_prior_ret_yet,no_paired_ret_yet
2020-02-27,usdt,Tether,3,stablecoin,,0,4279357850.611201,60222173759.00636,,39.16,1.58,106.55,no_prior_ret_yet,no_paired_ret_yet
2020-02-27,xrp,XRP,4,defi,,0,10107015239.20526,3277214495.244253,,39.16,1.58,106.55,no_prior_ret_yet,no_paired_ret_yet
2020-02-27,bnb,BNB,5,centralized_exchange,,0,2858511810.452316,346015231.2115283,,39.16,1.58,106.55,no_prior_ret_yet,no_paired_ret_yet
2020-02-27,usdc,USDC,6,stablecoin,,0,430280212.0389772,1080225894.233327,,39.16,1.58,106.55,no_prior_ret_yet,no_paired_ret_yet
2020-02-27,trx,TRON,8,defi,,0,1098159526.6215584,2084942918.007996,,39.16,1.58,106.55,no_prior_ret_yet,no_paired_ret_yet
2020-02-27,doge,Dogecoin,9,defi,,0,287388014.02649766,174293462.49905425,,39.16,1.58,106.55,no_prior_ret_yet,no_paired_ret_yet
2020-02-28,btc,Bitcoin,1,defi,,0,160149975301.41962,43045469000.97675,1.0,40.11,1.58,172.45,no_prior_ret_yet,-
