event_id,event_date,event_month,event_family,source_type,release_id,title,url,regulator,jurisdiction,is_probable_crypto_event,raw_date_text,ingested_at_utc
SEC-000016,2020-12-22,2020-12-01,press_release,sec_press_release,2020-338,SEC Charges Ripple and Two Executives with Conducting $1.3 Billion Unregistered Securities Offering,https://www.sec.gov/newsroom/press-releases/2020-338,SEC,US,true,"Dec. 22, 2020",2026-03-24T00:56:40Z
SEC-000021,2020-12-23,2020-12-01,press_release,sec_press_release,2020-340,SEC Issues Statement and Requests Comment Regarding the Custody of Digital Asset Securities by Special Purpose Broker-Dealers,https://www.sec.gov/newsroom/press-releases/2020-340,SEC,US,true,"Dec. 23, 2020",2026-03-24T00:56:40Z
SEC-000023,2020-12-28,2020-12-01,press_release,sec_press_release,2020-341,"SEC Obtains Emergency Asset Freeze, Charges Crypto Fund Manager with Fraud",https://www.sec.gov/newsroom/press-releases/2020-341,SEC,US,true,"Dec. 28, 2020",2026-03-24T00:56:40Z
SEC-000029,2021-12-02,2021-12-01,press_release,sec_press_release,2021-248,SEC Charges Latvian Citizen With Digital Asset Fraud,https://www.sec.gov/newsroom/press-releases/2021-248,SEC,US,true,"Dec. 2, 2021",2026-03-24T00:56:40Z
SEC-000058,2022-12-13,2022-12-01,press_release,sec_press_release,2022-219,SEC Charges Samuel Bankman-Fried with Defrauding Investors in Crypto Asset Trading Platform FTX,https://www.sec.gov/newsroom/press-releases/2022-219,SEC,US,true,"Dec. 13, 2022",2026-03-24T00:56:40Z
SEC-000062,2022-12-14,2022-12-01,press_release,sec_press_release,2022-227,SEC Charges Four Individuals in Crypto Pyramid Scheme that Targeted Spanish-Speaking Communities,https://www.sec.gov/newsroom/press-releases/2022-227,SEC,US,true,"Dec. 14, 2022",2026-03-24T00:56:40Z
SEC-000071,2022-12-21,2022-12-01,press_release,sec_press_release,2022-234,SEC Charges Caroline Ellison and Gary Wang with Defrauding Investors in Crypto Asset Trading Platform FTX,https://www.sec.gov/newsroom/press-releases/2022-234,SEC,US,true,"Dec. 21, 2022",2026-03-24T00:56:40Z
SEC-000078,2023-11-20,2023-11-01,press_release,sec_press_release,2023-237,"SEC Charges Kraken for Operating as an Unregistered Securities Exchange, Broker, Dealer, and Clearing Agency",https://www.sec.gov/newsroom/press-releases/2023-237,SEC,US,true,"Nov. 20, 2023",2026-03-24T00:56:40Z
SEC-000080,2023-11-22,2023-11-01,press_release,sec_press_release,2023-239,SEC Small Business Advisory Committee to Discuss the Accredited Investor Definition and the Role of Diversity in the Investment Process,https://www.sec.gov/newsroom/press-releases/2023-239,SEC,US,true,"Nov. 22, 2023",2026-03-24T00:56:40Z
SEC-000094,2023-12-15,2023-12-01,press_release,sec_press_release,2023-253,SEC Issues Staff Report on Accredited Investor Definition,https://www.sec.gov/newsroom/press-releases/2023-253,SEC,US,true,"Dec. 15, 2023",2026-03-24T00:56:40Z
SEC-000097,2023-12-22,2023-12-01,press_release,sec_press_release,2023-258,BarnBridge DAO Agrees to Stop Unregistered Offer and Sale of Structured Finance Crypto Product,https://www.sec.gov/newsroom/press-releases/2023-258,SEC,US,true,"Dec. 22, 2023",2026-03-24T00:56:40Z
SEC-000106,2024-12-09,2024-12-01,press_release,sec_press_release,2024-193,SEC Charges Morgan Stanley Smith Barney for Policy Deficiencies that Resulted in Failure to Prevent and Detect its Financial Advisors’ Theft of Investor Funds,https://www.sec.gov/newsroom/press-releases/2024-193,SEC,US,true,"Dec. 9, 2024",2026-03-24T00:56:40Z
SEC-000125,2024-12-20,2024-12-01,press_release,sec_press_release,2024-207,Wells Fargo and LPL Financial Charged for Submitting Deficient Trading Data to SEC,https://www.sec.gov/newsroom/press-releases/2024-207,SEC,US,true,"Dec. 20, 2024",2026-03-24T00:56:40Z
SEC-000140,2025-12-22,2025-12-01,press_release,sec_press_release,2025-144,SEC Charges Three Purported Crypto Asset Trading Platforms and Four Investment Clubs with Scheme That Targeted Retail Investors on Social Media,https://www.sec.gov/newsroom/press-releases/2025-144-sec-charges-three-purported-crypto-asset-trading-platforms-four-investment-clubs-scheme-targeted,SEC,US,true,"Dec. 22, 2025",2026-03-24T00:56:40Z
SEC-000150,2026-01-22,2026-01-01,press_release,sec_press_release,,"SEC and CFTC to Hold Joint Event on Harmonization, U.S. Financial Leadership in the Crypto Era",https://www.sec.gov/newsroom/press-releases/2026-13,SEC,US,true,"Thu, 22 Jan 2026 15:50:56 -0500",2026-03-24T00:56:40Z
SEC-000151,2026-01-26,2026-01-01,press_release,sec_press_release,,"SEC and CFTC Reschedule Joint Event on Harmonization, U.S. Financial Leadership in the Crypto Era",https://www.sec.gov/newsroom/press-releases/2026-14-sec-cftc-reschedule-joint-event-harmonization-us-financial-leadership-crypto-era,SEC,US,true,"Mon, 26 Jan 2026 10:12:31 -0500",2026-03-24T00:56:40Z
SEC-000189,2026-03-17,2026-03-01,press_release,sec_press_release,,SEC Clarifies the Application of Federal Securities Laws to Crypto Assets,https://www.sec.gov/newsroom/press-releases/2026-30-sec-clarifies-application-federal-securities-laws-crypto-assets,SEC,US,true,"Tue, 17 Mar 2026 15:45:25 -0400",2026-03-24T00:56:40Z
