term,coefficient,p_value
const,0.06402256599884412,0.0
driver_sec_event_indicator,0.0003293111716632564,0.8820576874806457
control_market_cap,-9.991533746637085e-15,1.0999717950412536e-27
control_total_volume,7.11817310246048e-15,0.4400674000288633
control_btc_corr_30d,-0.020610908521912136,1.8799968894977818e-115
vix,5.56029352124148e-05,0.12394466624945558
ffeffective_rate,-0.0038520301657705624,0.0
epu_index,-9.345230037193912e-06,6.704270053964333e-07
token_group_defi,0.00805827023953053,1.252403361933932e-37
token_group_stablecoin,-0.05041875964968752,0.0
